421	1430220851	0.430559
69	1430223508	0.385108
69	1430223516	0.385108
258	1430224942	0.526248
367	1430226000	0.519361
524	1430226020	0.458906
405	1430227403	0.389678
123	1430228180	0.393406
388	1430228251	0.409068
461	1430228253	0.565955
309	1430228702	0.424653
215	1430228709	0.316307
312	1430228986	0.553757
201	1430229102	0.404132
543	1430229324	0.558860
517	1430229428	0.408116
6	1430229526	0.332157
279	1430229527	0.480001
279	1430229531	0.480001
279	1430229544	0.480001
438	1430229859	0.456007
438	1430230176	0.456007
438	1430230201	0.456007
438	1430230213	0.456007
362	1430230475	0.346437
261	1430230486	0.422396
139	1430230596	0.441632
202	1430230858	0.406834
19	1430231178	0.515230
269	1430231179	0.293277
